ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
13-420-75-1,chec1245,Chechen,1859,кхоалгІа,CyrillTrans,third,,,qoalɣa,Phonemic
13-380-75-1,chec1245,Chechen,1546,шозза,CyrillTrans,two times,,,šozza,Phonemic
13-370-75-1,chec1245,Chechen,1888,шиъ,CyrillTrans,pair,,,šiʔ,Phonemic
13-360-75-1,chec1245,Chechen,1384,шолгІа,CyrillTrans,second,,,šolɣa,Phonemic
13-350-75-1,chec1245,Chechen,1529,тІаьххьара,CyrillTrans,last,,,tʼäxħara,Phonemic
13-340-75-1,chec1245,Chechen,728,хьалхара,CyrillTrans,first,,,ħalxara,Phonemic
13-330-75-1,chec1245,Chechen,1580,цхьаъ бен доцу,CyrillTrans,"alone, only",,,cħaʔ ben docu,Phonemic
13-240-75-1,chec1245,Chechen,816,а̄х,CyrillTrans,half,,,āx,Phonemic
13-230-75-1,chec1245,Chechen,779,йуьхк,CyrillTrans,"part, piece",,,yüxk,Phonemic
13-220-75-1,chec1245,Chechen,1624,даьсса,CyrillTrans,empty,,,dässa,Phonemic
13-210-75-1,chec1245,Chechen,1429,дуьззина,CyrillTrans,full,,,düzzina,Phonemic
13-190-75-1,chec1245,Chechen,2023,дукхалла,CyrillTrans,"multitude, crowd",,,duqal̄a,Phonemic
13-181-75-1,chec1245,Chechen,1241,масех,CyrillTrans,some,,,"masex, masiyt̄a",Phonemic
13-181-75-3,chec1245,Chechen,1241,масийтта,CyrillTrans,some,,,"masex, masiyt̄a",Phonemic
13-170-75-1,chec1245,Chechen,1242,кІезиг,CyrillTrans,"little (quantity), few",,,kʼezig,Phonemic
13-180-75-1,chec1245,Chechen,1881,тоъал,CyrillTrans,enough,,,"toʔal, qāčam bol̄uš",Phonemic
13-180-75-3,chec1245,Chechen,1881,кха̄чам боллуш,CyrillTrans,enough,,,"toʔal, qāčam bol̄uš",Phonemic
13-160-75-1,chec1245,Chechen,1992,доккхаха,CyrillTrans,more,,,"doq̄axa, duqaxa",Phonemic
13-160-75-3,chec1245,Chechen,1992,дукхаха,CyrillTrans,more,,,"doq̄axa, duqaxa",Phonemic
13-150-75-1,chec1245,Chechen,1198,дукха,CyrillTrans,"much, many",,,duqa,Phonemic
13-140-75-1,chec1245,Chechen,98,дерриг,CyrillTrans,"every, all",,,derrig,Phonemic
13-107-75-1,chec1245,Chechen,1420,ла̄ра,CyrillTrans,count,,,"lāra, dagardan",Phonemic
13-107-75-3,chec1245,Chechen,1420,дагардан,CyrillTrans,count,,,"lāra, dagardan",Phonemic
13-106-75-1,chec1245,Chechen,1843,эзар,CyrillTrans,thousand,,,ezar,Phonemic
13-105-75-1,chec1245,Chechen,1634,бІе,CyrillTrans,hundred,,,bʕe,Phonemic
13-104-75-1,chec1245,Chechen,1710,ткъа,CyrillTrans,twenty,,,tqʼa,Phonemic
13-103-75-1,chec1245,Chechen,1709,пхийтта,CyrillTrans,fifteen,,,pxiyt̄a,Phonemic
13-102-75-1,chec1245,Chechen,1707,шийтта,CyrillTrans,twelve,,,šiyt̄a,Phonemic
13-101-75-1,chec1245,Chechen,1706,цхьайтта,CyrillTrans,eleven,,,cħayt̄a,Phonemic
13-100-75-1,chec1245,Chechen,1515,итт,CyrillTrans,ten,,,it̄,Phonemic
13-90-75-1,chec1245,Chechen,1483,исс,CyrillTrans,nine,,,iss,Phonemic
13-80-75-1,chec1245,Chechen,1705,бархІ,CyrillTrans,eight,,,barh,Phonemic
13-70-75-1,chec1245,Chechen,1704,ворхІ,CyrillTrans,seven,,,worh,Phonemic
13-60-75-1,chec1245,Chechen,1703,йалх,CyrillTrans,six,,,yalx,Phonemic
13-50-75-1,chec1245,Chechen,493,пхиъ,CyrillTrans,five,,,pxiʔ,Phonemic
13-40-75-1,chec1245,Chechen,1500,диъ,CyrillTrans,four,,,diʔ,Phonemic
13-20-75-1,chec1245,Chechen,1498,шиъ,CyrillTrans,two,,,šiʔ,Phonemic
13-30-75-1,chec1245,Chechen,492,кхоъ,CyrillTrans,three,,,qoʔ,Phonemic
13-10-75-1,chec1245,Chechen,1493,цхьаъ,CyrillTrans,one,,,cħaʔ,Phonemic
13-0-75-1,chec1245,Chechen,1294,ноль,CyrillTrans,"zero, nothing",,,nolʲ,Phonemic
12-930-75-1,chec1245,Chechen,1264,хийца,CyrillTrans,change,,,xiyca,Phonemic
12-920-75-1,chec1245,Chechen,1558,тера,CyrillTrans,"like, similar",,,tera,Phonemic
12-840-75-1,chec1245,Chechen,1048,сиз,CyrillTrans,line,,,siz,Phonemic
12-850-75-1,chec1245,Chechen,1667,Іуьрг,CyrillTrans,hole,,,ʕürg,Phonemic
12-830-75-1,chec1245,Chechen,1845,горгалла,CyrillTrans,"sphere, ball",,,gorgal̄a,Phonemic
12-810-75-1,chec1245,Chechen,1395,горга,CyrillTrans,round,,,gorga,Phonemic
12-820-75-1,chec1245,Chechen,1467,го̄,CyrillTrans,circle,,,gō,Phonemic
12-780-75-1,chec1245,Chechen,850,квадрат,CyrillTrans,square,,,kwadrat,Phonemic
12-770-75-1,chec1245,Chechen,1367,жІара,CyrillTrans,cross,,,žʕara,Phonemic
12-760-75-1,chec1245,Chechen,192,са,CyrillTrans,corner,,,"sa, mäʕig",Phonemic
12-760-75-3,chec1245,Chechen,192,маьІиг,CyrillTrans,corner,,,"sa, mäʕig",Phonemic
12-750-75-1,chec1245,Chechen,1071,мІа̄ра,CyrillTrans,hook,,,mʕāra,Phonemic
12-740-75-1,chec1245,Chechen,297,го̄ма,CyrillTrans,crooked,,,"gōma, āɣor set̄ina",Phonemic
12-740-75-3,chec1245,Chechen,297,а̄гІор сеттина,CyrillTrans,crooked,,,"gōma, āɣor set̄ina",Phonemic
12-730-75-1,chec1245,Chechen,1404,нийса,CyrillTrans,straight,,,"niysa, düxħal (dʕa)",Phonemic
12-730-75-3,chec1245,Chechen,1404,дуьххьал (дІа),CyrillTrans,straight,,,"niysa, düxħal (dʕa)",Phonemic
12-710-75-1,chec1245,Chechen,1633,воьда,CyrillTrans,flat,,,"wöda, čʼapa, tʼapa",Phonemic
12-710-75-3,chec1245,Chechen,1633,чІапа,CyrillTrans,flat,,,"wöda, čʼapa, tʼapa",Phonemic
12-710-75-5,chec1245,Chechen,1633,тІапа,CyrillTrans,flat,,,"wöda, čʼapa, tʼapa",Phonemic
12-680-75-1,chec1245,Chechen,193,кегий,CyrillTrans,shallow,,,kegiy,Phonemic
12-670-75-1,chec1245,Chechen,1593,кІорга,CyrillTrans,deep,,,kʼorga,Phonemic
12-650-75-1,chec1245,Chechen,2249,дуткъа,CyrillTrans,thin (in dimension),,,dutqʼa,Phonemic
12-630-75-1,chec1245,Chechen,1244,стомма,CyrillTrans,thick (in dimension),,,stom̄a,Phonemic
12-620-75-1,chec1245,Chechen,1267,готта,CyrillTrans,narrow,,,got̄a,Phonemic
12-610-75-1,chec1245,Chechen,1243,шуьйра,CyrillTrans,"wide, broad",,,šüyra,Phonemic
12-590-75-1,chec1245,Chechen,1645,до̄ца,CyrillTrans,short,,,"dōca, loca, yoca",Phonemic
12-590-75-3,chec1245,Chechen,1645,лоца,CyrillTrans,short,,,"dōca, loca, yoca",Phonemic
12-590-75-5,chec1245,Chechen,1645,йоца,CyrillTrans,short,,,"dōca, loca, yoca",Phonemic
12-580-75-1,chec1245,Chechen,711,лекха,CyrillTrans,tall,,,leqa,Phonemic
12-570-75-1,chec1245,Chechen,1203,де̄ха,CyrillTrans,long,,,dēxa,Phonemic
12-560-75-1,chec1245,Chechen,1246,жима,CyrillTrans,"small, little",,,žima,Phonemic
12-550-75-1,chec1245,Chechen,1202,доккха,CyrillTrans,"large, big",,,doq̄a,Phonemic
12-541-75-1,chec1245,Chechen,81,ге,CyrillTrans,"span, fathom",,,"ge, ša",Phonemic
12-541-75-3,chec1245,Chechen,81,ша,CyrillTrans,"span, fathom",,,"ge, ša",Phonemic
12-540-75-1,chec1245,Chechen,1506,дуста,CyrillTrans,measure,,,dusta,Phonemic
12-530-75-1,chec1245,Chechen,479,кхиа,CyrillTrans,grow,,,qiʔa,Phonemic
12-480-75-1,chec1245,Chechen,1595,къилбе,CyrillTrans,south,,,qʼilbe,Phonemic
12-470-75-1,chec1245,Chechen,1598,къилбаседехьа,CyrillTrans,north,,,qʼilbasedeħa,Phonemic
12-460-75-1,chec1245,Chechen,1817,малхбузе,CyrillTrans,west,,,malxbuze,Phonemic
12-450-75-1,chec1245,Chechen,1877,малхба̄ле,CyrillTrans,east,,,malxbāle,Phonemic
12-430-75-1,chec1245,Chechen,1942,уллохь,CyrillTrans,near (adv),,,"ul̄oħ, yux̄eħ",Phonemic
12-430-75-3,chec1245,Chechen,1942,йуххехь,CyrillTrans,near (adv),,,"ul̄oħ, yux̄eħ",Phonemic
12-440-75-1,chec1245,Chechen,1406,ге̄на,CyrillTrans,far (adv),,,"gēna, gēnaħ",Phonemic
12-440-75-3,chec1245,Chechen,1406,ге̄нахь,CyrillTrans,far (adv),,,"gēna, gēnaħ",Phonemic
12-420-75-1,chec1245,Chechen,244,аьрру а̄гІо,CyrillTrans,left (side),,,ärru āɣo,Phonemic
12-410-75-1,chec1245,Chechen,1019,аьтту а̄гІо,CyrillTrans,right (side),,,ät̄u āɣo,Phonemic
12-370-75-1,chec1245,Chechen,1093,йукъ,CyrillTrans,"middle, center",,,yuqʼ,Phonemic
12-360-75-1,chec1245,Chechen,682,а̄гІо,CyrillTrans,side,,,āɣo,Phonemic
12-353-75-1,chec1245,Chechen,863,йист,CyrillTrans,edge,,,yist,Phonemic
12-352-75-1,chec1245,Chechen,372,ира бохь болу,CyrillTrans,pointed,,,"ira boħ bolu, ira yüħig yolu",Phonemic
12-352-75-3,chec1245,Chechen,372,ира йуьхьиг йолу,CyrillTrans,pointed,,,"ira boħ bolu, ira yüħig yolu",Phonemic
12-350-75-1,chec1245,Chechen,742,чаккхе,CyrillTrans,end,,,čaq̄e,Phonemic
12-340-75-1,chec1245,Chechen,690,бух,CyrillTrans,bottom,,,"bux, kʼēlo",Phonemic
12-340-75-3,chec1245,Chechen,690,кІе̄ло,CyrillTrans,bottom,,,"bux, kʼēlo",Phonemic
12-320-75-1,chec1245,Chechen,721,лоха,CyrillTrans,low,,,loxa,Phonemic
12-330-75-1,chec1245,Chechen,1753,бохь,CyrillTrans,top,,,boħ,Phonemic
12-310-75-1,chec1245,Chechen,1265,лекха (хила),CyrillTrans,high,,,leqa (xila),Phonemic
12-270-75-1,chec1245,Chechen,602,къайлада̄ла,CyrillTrans,"hide, conceal",,,qʼayladāla,Phonemic
12-250-75-1,chec1245,Chechen,1046,тІечІагІа,CyrillTrans,"shut, close",,,"tʼečʼaɣa, dʕačʼaɣa",Phonemic
12-250-75-3,chec1245,Chechen,1046,дІачІагІа,CyrillTrans,"shut, close",,,"tʼečʼaɣa, dʕačʼaɣa",Phonemic
12-260-75-1,chec1245,Chechen,761,тІетаса,CyrillTrans,cover,,,"tʼetasa, tʼeqal̄a",Phonemic
12-260-75-3,chec1245,Chechen,761,тІекхалла,CyrillTrans,cover,,,"tʼetasa, tʼeqal̄a",Phonemic
12-240-75-1,chec1245,Chechen,1156,дІаделла,CyrillTrans,open,,,"dʕadel̄a, sħadel̄a",Phonemic
12-240-75-3,chec1245,Chechen,1156,схьаделла,CyrillTrans,open,,,"dʕadel̄a, sħadel̄a",Phonemic
12-232-75-1,chec1245,Chechen,1119,декъа,CyrillTrans,divide,,,deqʼa,Phonemic
12-230-75-1,chec1245,Chechen,1359,дІакъасто,CyrillTrans,separate,,,"dʕaqʼasto, sħaqʼasto",Phonemic
12-230-75-3,chec1245,Chechen,1359,схьакъасто,CyrillTrans,separate,,,"dʕaqʼasto, sħaqʼasto",Phonemic
12-220-75-1,chec1245,Chechen,1743,вовшахкхета,CyrillTrans,"join, unite",,,"wowšaxqeta, cħänaqeta",Phonemic
12-220-75-3,chec1245,Chechen,1743,цхьаьнакхета,CyrillTrans,"join, unite",,,"wowšaxqeta, cħänaqeta",Phonemic
12-213-75-1,chec1245,Chechen,1576,гулдан,CyrillTrans,pile up,,,"guldan, čalx yan",Phonemic
12-213-75-3,chec1245,Chechen,1576,чалх йан,CyrillTrans,pile up,,,"guldan, čalx yan",Phonemic
12-212-75-1,chec1245,Chechen,371,хьалалахьо,CyrillTrans,pick up,,,ħalalaħo,Phonemic
12-210-75-1,chec1245,Chechen,7,гулдан,CyrillTrans,"collect, gather",,,guldan,Phonemic
12-170-75-1,chec1245,Chechen,838,бухадиснарш,CyrillTrans,"remains, left overs",,,buxadisnarš,Phonemic
12-160-75-1,chec1245,Chechen,987,диса,CyrillTrans,"remain, stay",,,"disa, ʕan",Phonemic
12-160-75-3,chec1245,Chechen,987,Іан,CyrillTrans,"remain, stay",,,"disa, ʕan",Phonemic
12-150-75-1,chec1245,Chechen,1442,латта,CyrillTrans,stand,,,"lat̄a, iraħ xila",Phonemic
12-150-75-3,chec1245,Chechen,1442,ирахь хила,CyrillTrans,stand,,,"lat̄a, iraħ xila",Phonemic
12-140-75-1,chec1245,Chechen,215,дижа,CyrillTrans,lie down,,,"diža, oħadiža",Phonemic
12-140-75-3,chec1245,Chechen,215,охьадижа,CyrillTrans,lie down,,,"diža, oħadiža",Phonemic
12-130-75-1,chec1245,Chechen,1416,(хиъна) Іан,CyrillTrans,sit,,,(xiʔna) ʕan,Phonemic
12-120-75-1,chec1245,Chechen,998,дилла,CyrillTrans,put,,,dil̄a,Phonemic
12-110-75-1,chec1245,Chechen,723,меттиг,CyrillTrans,place,,,met̄ig,Phonemic
12-80-75-1,chec1245,Chechen,1591,тІе,CyrillTrans,"up, above",,,tʼe,Phonemic
12-70-75-1,chec1245,Chechen,1485,кІел,CyrillTrans,under,,,"kʼel, buxa",Phonemic
12-70-75-3,chec1245,Chechen,1485,буха,CyrillTrans,under,,,"kʼel, buxa",Phonemic
12-60-75-1,chec1245,Chechen,762,а̄рахула,CyrillTrans,outside,,,āraxula,Phonemic
12-50-75-1,chec1245,Chechen,1606,чу,CyrillTrans,"inside, in",,,"ču, yukqʼeħ",Phonemic
12-50-75-3,chec1245,Chechen,1606,йуккъехь,CyrillTrans,"inside, in",,,"ču, yukqʼeħ",Phonemic
12-41-75-1,chec1245,Chechen,1883,хьалха̄,CyrillTrans,front,,,ħalxā,Phonemic
12-40-75-1,chec1245,Chechen,1882,хьалха,CyrillTrans,before,,,ħalxa,Phonemic
12-30-75-1,chec1245,Chechen,2094,лохаха,CyrillTrans,"down, below",,,loxaxa,Phonemic
12-20-75-1,chec1245,Chechen,1816,уллохь,CyrillTrans,beside,,,"ul̄oħ, yux̄eħ",Phonemic
12-20-75-3,chec1245,Chechen,1816,йуххехь,CyrillTrans,beside,,,"ul̄oħ, yux̄eħ",Phonemic
12-11-75-1,chec1245,Chechen,1686,а̄ра,CyrillTrans,behind,,,"āra, āraħ",Phonemic
12-11-75-3,chec1245,Chechen,1686,а̄рахь,CyrillTrans,behind,,,"āra, āraħ",Phonemic
12-10-75-1,chec1245,Chechen,1685,тІаьхьа,CyrillTrans,after,,,tʼäħa,Phonemic
11-920-75-1,chec1245,Chechen,1098,о̄за,CyrillTrans,weigh,,,ōza,Phonemic
11-910-75-1,chec1245,Chechen,884,дІасадекъа,CyrillTrans,share (distribute),,,dʕasadeqʼa,Phonemic
11-890-75-1,chec1245,Chechen,1887,до̄раха,CyrillTrans,cheap,,,dōraxa,Phonemic
11-880-75-1,chec1245,Chechen,1426,деза,CyrillTrans,"dear (costly, expensive)",,,deza,Phonemic
11-870-75-1,chec1245,Chechen,657,ма̄х,CyrillTrans,price,,,māx,Phonemic
11-860-75-1,chec1245,Chechen,752,туька,CyrillTrans,"store, shop",,,tüka,Phonemic
11-850-75-1,chec1245,Chechen,633,ба̄зар,CyrillTrans,market (place),,,bāzar,Phonemic
11-840-75-1,chec1245,Chechen,1082,йохкархо,CyrillTrans,merchant,,,"yoxkarxo, maxbarxo, sowdegar",Phonemic
11-840-75-3,chec1245,Chechen,1082,махбархо,CyrillTrans,merchant,,,"yoxkarxo, maxbarxo, sowdegar",Phonemic
11-840-75-5,chec1245,Chechen,1082,совдегар,CyrillTrans,merchant,,,"yoxkarxo, maxbarxo, sowdegar",Phonemic
11-830-75-1,chec1245,Chechen,2135,хийцар,CyrillTrans,"trade, barter",,,"xiycar, maxlēlor",Phonemic
11-830-75-3,chec1245,Chechen,2135,махле̄лор,CyrillTrans,"trade, barter",,,"xiycar, maxlēlor",Phonemic
11-820-75-1,chec1245,Chechen,1571,дохка,CyrillTrans,sell,,,doxka,Phonemic
11-810-75-1,chec1245,Chechen,1869,э̄ца,CyrillTrans,buy,,,ēca,Phonemic
11-790-75-1,chec1245,Chechen,733,да̄ккха,CyrillTrans,earn,,,dāq̄a,Phonemic
11-780-75-1,chec1245,Chechen,1122,белхан алапа,CyrillTrans,wages,,,belxan alapa,Phonemic
11-770-75-1,chec1245,Chechen,856,ла̄ца,CyrillTrans,hire,,,"lāca, prokat",Phonemic
11-770-75-3,chec1245,Chechen,856,прокат,CyrillTrans,hire,,,"lāca, prokat",Phonemic
11-690-75-1,chec1245,Chechen,873,налог,CyrillTrans,"tax, tribute",,,nalog,Phonemic
11-660-75-1,chec1245,Chechen,1081,ларар,CyrillTrans,"account, reckoning",,,"larar, laradalar, čot",Phonemic
11-660-75-3,chec1245,Chechen,1081,ларадалар,CyrillTrans,"account, reckoning",,,"larar, laradalar, čot",Phonemic
11-660-75-5,chec1245,Chechen,1081,чот,CyrillTrans,"account, reckoning",,,"larar, laradalar, čot",Phonemic
11-650-75-1,chec1245,Chechen,718,ахча дала,CyrillTrans,pay (vb),,,axča dala,Phonemic
11-640-75-1,chec1245,Chechen,1914,де̄кхар,CyrillTrans,debt,,,dēqar,Phonemic
11-630-75-1,chec1245,Chechen,369,декхарийлакь хила,CyrillTrans,owe,,,deqariylakʲ xila,Phonemic
11-620-75-1,chec1245,Chechen,1823,йухалург эца,CyrillTrans,borrow,,,yuxalurg eca,Phonemic
11-610-75-1,chec1245,Chechen,582,йухалург дала,CyrillTrans,lend,,,yuxalurg dala,Phonemic
11-540-75-1,chec1245,Chechen,1774,къен,CyrillTrans,"avaricious, stingy",,,"qʼen, bʕärmeci",Phonemic
11-540-75-3,chec1245,Chechen,1774,бІаьрмеци,CyrillTrans,"avaricious, stingy",,,"qʼen, bʕärmeci",Phonemic
11-530-75-1,chec1245,Chechen,1934,сагІадоьхург,CyrillTrans,beggar,,,saɣadöxurg,Phonemic
11-520-75-1,chec1245,Chechen,1674,къен,CyrillTrans,poor,,,qʼen,Phonemic
11-510-75-1,chec1245,Chechen,712,хьоле,CyrillTrans,rich,,,"ħole, ħal dolu",Phonemic
11-510-75-3,chec1245,Chechen,712,хьал долу,CyrillTrans,rich,,,"ħole, ħal dolu",Phonemic
11-440-75-1,chec1245,Chechen,1867,ахча,CyrillTrans,coin,,,axča,Phonemic
11-430-75-1,chec1245,Chechen,1559,ахча,CyrillTrans,money,,,axča,Phonemic
11-340-75-1,chec1245,Chechen,1095,дахийта,CyrillTrans,"release, let go",,,daxiyta,Phonemic
11-330-75-1,chec1245,Chechen,1660,дайа,CyrillTrans,lose,,,dayʔa,Phonemic
11-320-75-1,chec1245,Chechen,719,каро,CyrillTrans,find,,,karo,Phonemic
11-310-75-1,chec1245,Chechen,1468,леха,CyrillTrans,"seek, look for",,,lexa,Phonemic
11-280-75-1,chec1245,Chechen,44,зен дан,CyrillTrans,"harm, injure, damage",,,zen dan,Phonemic
11-270-75-1,chec1245,Chechen,681,дохо,CyrillTrans,destroy,,,"doxo, hal̄akdan",Phonemic
11-270-75-3,chec1245,Chechen,681,хІаллакдан,CyrillTrans,destroy,,,"doxo, hal̄akdan",Phonemic
11-250-75-1,chec1245,Chechen,2008,кІелхьардаккха,CyrillTrans,"save, rescue",,,kʼelħardaq̄a,Phonemic
11-240-75-1,chec1245,Chechen,1997,Іалашдан,CyrillTrans,"preserve, look after",,,"ʕalašdan, lardan",Phonemic
11-240-75-3,chec1245,Chechen,1997,лардан,CyrillTrans,"preserve, look after",,,"ʕalašdan, lardan",Phonemic
11-220-75-1,chec1245,Chechen,85,(йуха) дерзо,CyrillTrans,give back,,,"(yuxa) derzo, (yuxa) dala",Phonemic
11-220-75-3,chec1245,Chechen,85,(йуха) дала,CyrillTrans,give back,,,"(yuxa) derzo, (yuxa) dala",Phonemic
11-210-75-1,chec1245,Chechen,1447,дала,CyrillTrans,give,,,dala,Phonemic
11-180-75-1,chec1245,Chechen,738,хІума,CyrillTrans,thing,,,huma,Phonemic
11-170-75-1,chec1245,Chechen,1477,Іалашдан,CyrillTrans,"keep, retain",,,"ʕalašdan, dʕadil̄ina lat̄o",Phonemic
11-170-75-3,chec1245,Chechen,1477,дІадиллина латто,CyrillTrans,"keep, retain",,,"ʕalašdan, dʕadil̄ina lat̄o",Phonemic
11-160-75-1,chec1245,Chechen,694,(схьа) эца,CyrillTrans,"get, obtain",,,(sħa) eca,Phonemic
11-150-75-1,chec1245,Chechen,1448,латто,CyrillTrans,hold,,,lat̄o,Phonemic
11-140-75-1,chec1245,Chechen,2021,катоха,CyrillTrans,"seize, grasp",,,"katoxa, kadet̄a",Phonemic
11-140-75-3,chec1245,Chechen,2021,кадетта,CyrillTrans,"seize, grasp",,,"katoxa, kadet̄a",Phonemic
11-130-75-1,chec1245,Chechen,1749,эца,CyrillTrans,take,,,eca,Phonemic
11-120-75-1,chec1245,Chechen,684,хила,CyrillTrans,"own, possess",,,xila,Phonemic
11-110-75-1,chec1245,Chechen,773,хила,CyrillTrans,have,,,xila,Phonemic
10-920-75-1,chec1245,Chechen,1922,охьахаа,CyrillTrans,land (vb),,,"oħaxaʔa, oħadossa",Phonemic
10-920-75-3,chec1245,Chechen,1922,охьадосса,CyrillTrans,land (vb),,,"oħaxaʔa, oħadossa",Phonemic
10-910-75-1,chec1245,Chechen,610,гавань,CyrillTrans,"harbor, port",,,"gawanʲ, yistedoɣiyla, port",Phonemic
10-910-75-3,chec1245,Chechen,610,йистедогІийла,CyrillTrans,"harbor, port",,,"gawanʲ, yistedoɣiyla, port",Phonemic
10-910-75-5,chec1245,Chechen,610,порт,CyrillTrans,"harbor, port",,,"gawanʲ, yistedoɣiyla, port",Phonemic
10-890-75-1,chec1245,Chechen,1870,йакорь,CyrillTrans,anchor,,,yakorʲ,Phonemic
10-880-75-1,chec1245,Chechen,786,гата,CyrillTrans,sail (noun),,,gata,Phonemic
10-870-75-1,chec1245,Chechen,184,мачта,CyrillTrans,mast,,,mačta,Phonemic
10-860-75-1,chec1245,Chechen,108,тІа̄м,CyrillTrans,rudder,,,tʼām,Phonemic
10-852-75-1,chec1245,Chechen,1849,лело,CyrillTrans,row (vb),,,"lelo, diga",Phonemic
10-852-75-3,chec1245,Chechen,1849,дига,CyrillTrans,row (vb),,,"lelo, diga",Phonemic
10-851-75-1,chec1245,Chechen,234,пийсиг,CyrillTrans,paddle (noun),,,"piysig, pistig",Phonemic
10-851-75-3,chec1245,Chechen,234,пистиг,CyrillTrans,paddle (noun),,,"piysig, pistig",Phonemic
10-850-75-1,chec1245,Chechen,108,пийсиг,CyrillTrans,oar,,,"piysig, pistig",Phonemic
10-850-75-3,chec1245,Chechen,108,пистиг,CyrillTrans,oar,,,"piysig, pistig",Phonemic
